Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Garza Bruja (Nycticorax nycticorax),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Garza Blanca Chica (Egretta thula),3,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Garza Bueyera (Ardea ibis),3,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Garza Blanca Grande (Ardea alba),4,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Garza Mora (Ardea cocoi),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Cuervo Cabeza Roja (Cathartes aura),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Lechucita de Campo (Athene cunicularia),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Martín Pescador Chico (Chloroceryle americana),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Carpintero Nuca Roja (Colaptes melanochloros),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Carancho (Caracara plancus),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Chimango (Daptrius chimango),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Halconcito (Falco sparverius),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Cotorra (Myiopsitta monachus),12,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Hornero (Furnarius rufus),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Junquero (Phleocryptes melanops),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Tiotío Común (Phacellodomus striaticollis),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Trepadorcito (Cranioleuca pyrrhophia),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Curutié Colorado (Certhiaxis cinnamomeus),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Pijuí Común (Synallaxis spixi),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Fiofío Pico Corto (Elaenia parvirostris),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Tiquitiqui Oscuro (Serpophaga nigricans),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Tiquitiqui Común (Serpophaga subcristata),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Churrinche (Pyrocephalus rubinus),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Pico de Plata (Hymenops perspicillatus),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Vinchero (Satrapa icterophrys),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
