Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Junquero (Phleocryptes melanops),1,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Espinero (Anumbius annumbi),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Curutié Colorado (Certhiaxis cinnamomeus),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Fiofío Pico Corto (Elaenia parvirostris),1,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Tiquitiqui Oscuro (Serpophaga nigricans),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Tiquitiqui Común (Serpophaga subcristata),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Churrinche (Pyrocephalus rubinus),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Pico de Plata (Hymenops perspicillatus),4,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Vinchero (Satrapa icterophrys),1,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Viudita Blanca Común (Xolmis irupero),5,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Escarchero (Nengetus cinereus),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Benteveo (Pitangus sulphuratus),4,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Benteveo Real (Tyrannus melancholicus),1,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Tijereta (Tyrannus savana),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Golondrina Ceja Blanca (Tachycineta leucorrhoa),4,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Golondrina Azul Grande (Progne chalybea),3,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Golondrina Parda Grande (Progne tapera),3,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Golondrina Azul Chica (Pygochelidon cyanoleuca),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Golondrina Tijereta (Hirundo rustica),4,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Ratonera (Troglodytes musculus),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Estornino Pinto (Sturnus vulgaris),150,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Calandria (Mimus saturninus),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
Cachirla Chica (Anthus chii),2,"Departamento de Rocha, UY (-34.241, -53.843)",Con Desplazamiento,19-dic-2024,8:44,"3 hora(s), 37 minuto(s)",7.25 kilómetro(s),,,4,true,72 especies,
